Frame,Point,x,y
6.0,48.0,659.072,489.603
6.0,49.0,653.941,487.713
6.0,50.0,653.131,482.312
6.0,51.0,654.481,484.202
6.0,52.0,659.072,489.333
6.0,53.0,652.861,491.763
6.0,54.0,655.831,491.493
6.0,55.0,656.641,490.953
6.0,56.0,656.911,489.333
6.0,57.0,656.641,492.033
6.0,58.0,656.911,492.303
6.0,59.0,657.451,492.033
6.0,60.0,657.721,490.683
6.0,61.0,652.716,467.686
6.0,62.0,664.742,476.575
6.0,63.0,662.128,490.432
6.0,64.0,654.546,494.092
6.0,65.0,653.762,494.353
6.0,66.0,660.298,488.863
6.0,67.0,651.147,493.046
6.0,68.0,647.226,492.785
6.0,69.0,649.056,494.092
6.0,70.0,652.193,484.68
6.0,71.0,649.84,490.954
6.0,72.0,645.134,491.477
6.0,73.0,643.827,488.602
6.0,74.0,645.919,484.418
6.0,75.0,645.134,490.954
6.0,76.0,645.134,490.954
6.0,77.0,644.089,488.34
6.0,78.0,643.043,489.647
6.0,79.0,643.827,492.262
6.0,80.0,644.089,493.046
6.0,81.0,644.35,490.954
7.0,0.0,640.083,295.403
7.0,1.0,663.812,328.544
7.0,2.0,635.232,314.43
7.0,3.0,637.562,387.896
7.0,4.0,635.306,447.474
7.0,5.0,694.641,333.367
7.0,6.0,692.232,409.38
7.0,7.0,654.366,452.158
7.0,8.0,656.733,454.605
7.0,9.0,637.524,452.201
7.0,10.0,625.715,547.317
7.0,11.0,644.802,635.322
7.0,12.0,680.447,459.303
7.0,13.0,680.381,552.024
7.0,14.0,670.882,639.969
7.0,15.0,635.292,292.973
7.0,16.0,651.82,290.526
7.0,17.0,630.478,295.306
7.0,18.0,670.857,290.453
7.0,19.0,644.737,654.286
7.0,20.0,659.035,656.676
7.0,21.0,673.289,651.906
7.0,22.0,616.219,656.735
7.0,23.0,616.137,654.218
7.0,24.0,654.302,644.774
7.0,25.0,634.793,306.387
7.0,26.0,653.1,317.906
7.0,27.0,666.676,293.017
7.0,28.0,627.182,293.634
7.0,29.0,630.679,289.931
7.0,30.0,636.233,289.314
7.0,31.0,641.169,287.051
7.0,32.0,646.518,282.938
7.0,33.0,652.277,282.732
7.0,34.0,640.552,308.444
7.0,35.0,646.723,307.21
7.0,36.0,653.923,304.33
7.0,37.0,648.369,310.295
7.0,38.0,635.204,294.457
7.0,39.0,648.163,289.108
7.0,40.0,628.199,452.605
7.0,41.0,627.641,466.833
7.0,42.0,629.873,478.83
7.0,43.0,634.058,489.432
7.0,44.0,632.384,496.406
7.0,45.0,648.286,471.297
7.0,46.0,647.728,481.341
7.0,47.0,649.681,487.2
7.0,48.0,650.239,492.222
7.0,49.0,656.656,468.507
7.0,50.0,658.609,477.714
7.0,51.0,660.841,485.247
7.0,52.0,660.841,491.385
7.0,53.0,663.631,464.601
7.0,54.0,664.189,473.808
7.0,55.0,666.7,479.946
7.0,56.0,666.421,484.968
7.0,57.0,671.722,460.696
7.0,58.0,672.559,468.228
7.0,59.0,674.511,472.692
7.0,60.0,677.022,476.598
7.0,61.0,618.383,466.595
7.0,62.0,627.551,455.539
7.0,63.0,631.326,492.211
7.0,64.0,633.213,491.941
7.0,65.0,631.056,495.177
7.0,66.0,628.899,460.123
7.0,67.0,650.74,470.37
7.0,68.0,664.762,477.111
7.0,69.0,663.683,483.043
7.0,70.0,630.786,466.595
7.0,71.0,648.853,473.066
7.0,72.0,658.829,481.425
7.0,73.0,658.56,483.313
7.0,74.0,632.135,476.302
7.0,75.0,645.347,479.268
7.0,76.0,648.044,486.009
7.0,77.0,650.201,491.941
7.0,78.0,629.977,478.999
7.0,79.0,638.606,481.695
7.0,80.0,632.944,491.941
7.0,81.0,629.168,493.559
8.0,0.0,639.984,297.622
8.0,1.0,659.091,330.809
8.0,2.0,635.14,319.027
8.0,3.0,635.226,390.425
8.0,4.0,635.144,449.81
8.0,5.0,692.352,333.429
8.0,6.0,678.084,409.444
8.0,7.0,637.616,452.238
8.0,8.0,661.44,447.556
8.0,9.0,640.057,447.446
8.0,10.0,620.94,544.911
8.0,11.0,644.773,635.288
8.0,12.0,682.795,452.159
8.0,13.0,678.069,549.678
8.0,14.0,670.831,639.973
8.0,15.0,635.233,293.01
8.0,16.0,649.453,292.778
8.0,17.0,630.537,295.311
8.0,18.0,666.185,288.182
8.0,19.0,637.61,654.279
8.0,20.0,656.63,656.654
8.0,21.0,673.312,651.912
8.0,22.0,616.152,656.689
8.0,23.0,613.881,654.188
8.0,24.0,654.303,642.418
8.0,25.0,631.779,306.536
8.0,26.0,649.667,317.53
8.0,27.0,664.573,292.002
8.0,28.0,625.63,292.561
8.0,29.0,628.798,289.953
8.0,30.0,634.201,289.207
8.0,31.0,639.232,286.412
8.0,32.0,644.263,283.058
8.0,33.0,650.039,282.313
8.0,34.0,639.232,308.399
8.0,35.0,644.822,306.909
8.0,36.0,652.089,304.859
8.0,37.0,646.499,310.076
8.0,38.0,632.524,294.425
8.0,39.0,646.313,288.835
8.0,40.0,633.909,457.848
8.0,41.0,623.411,460.685
8.0,42.0,615.467,462.955
8.0,43.0,608.657,467.495
8.0,44.0,602.131,470.616
8.0,45.0,618.02,478.56
8.0,46.0,613.197,485.654
8.0,47.0,611.494,490.477
8.0,48.0,610.643,496.436
8.0,49.0,624.262,481.114
8.0,50.0,621.141,489.626
8.0,51.0,620.574,496.436
8.0,52.0,619.439,501.543
8.0,53.0,630.504,481.682
8.0,54.0,628.802,488.775
8.0,55.0,627.667,494.449
8.0,56.0,626.816,497.854
8.0,57.0,637.314,480.547
8.0,58.0,639.3,485.654
8.0,59.0,641.002,487.924
8.0,60.0,641.57,490.761
8.0,61.0,631.974,458.669
8.0,62.0,635.641,468.883
8.0,63.0,636.951,478.313
8.0,64.0,642.189,484.861
8.0,65.0,641.927,489.051
8.0,66.0,635.641,480.408
8.0,67.0,637.213,484.075
8.0,68.0,664.977,480.67
8.0,69.0,665.239,486.17
8.0,70.0,631.189,481.98
8.0,71.0,627.522,488.266
8.0,72.0,626.998,493.504
8.0,73.0,625.688,498.481
8.0,74.0,624.903,481.98
8.0,75.0,621.236,489.051
8.0,76.0,619.926,495.338
8.0,77.0,619.14,501.362
8.0,78.0,619.402,480.67
8.0,79.0,614.688,485.123
8.0,80.0,611.283,488.79
8.0,81.0,610.235,493.242
9.0,0.0,639.994,295.219
9.0,1.0,659.005,331.032
9.0,2.0,635.157,330.867
9.0,3.0,632.853,395.093
9.0,4.0,630.497,452.198
9.0,5.0,692.209,335.675
9.0,6.0,673.313,416.537
9.0,7.0,625.728,461.645
9.0,8.0,668.532,449.844
9.0,9.0,649.455,447.53
9.0,10.0,616.123,540.084
9.0,11.0,640.088,632.878
9.0,12.0,689.826,454.535
9.0,13.0,680.377,549.628
9.0,14.0,673.261,637.547
9.0,15.0,635.199,292.819
9.0,16.0,649.46,285.804
9.0,17.0,628.115,295.319
9.0,18.0,666.121,285.753
9.0,19.0,656.683,651.919
9.0,20.0,675.696,654.263
9.0,21.0,673.327,642.373
9.0,22.0,613.883,656.655
9.0,23.0,613.845,654.164
9.0,24.0,654.207,637.708
9.0,25.0,630.623,305.042
9.0,26.0,649.938,314.699
9.0,27.0,664.425,290.957
9.0,28.0,625.592,290.555
9.0,29.0,628.812,287.537
9.0,30.0,633.842,287.335
9.0,31.0,638.872,284.518
9.0,32.0,644.506,281.098
9.0,33.0,650.743,280.897
9.0,34.0,638.872,306.651
9.0,35.0,644.104,304.438
9.0,36.0,651.347,302.225
9.0,37.0,646.116,308.261
9.0,38.0,632.232,292.365
9.0,39.0,646.518,286.933
9.0,40.0,626.475,458.253
9.0,41.0,616.118,462.213
9.0,42.0,608.197,468.915
9.0,43.0,596.621,475.617
9.0,44.0,613.376,491.762
9.0,45.0,610.939,478.968
9.0,46.0,610.33,485.67
9.0,47.0,609.111,492.067
9.0,48.0,607.283,498.16
9.0,49.0,618.859,480.796
9.0,50.0,618.555,490.239
9.0,51.0,618.25,497.855
9.0,52.0,617.641,504.252
9.0,53.0,625.866,481.405
9.0,54.0,626.475,487.802
9.0,55.0,626.17,494.199
9.0,56.0,625.866,499.378
9.0,57.0,633.482,480.187
9.0,58.0,635.919,485.061
9.0,59.0,638.051,488.107
9.0,60.0,639.574,492.067
9.0,61.0,618.403,465.855
9.0,62.0,626.891,465.855
9.0,63.0,636.321,469.628
9.0,64.0,643.159,473.4
9.0,65.0,649.76,476.7
9.0,66.0,632.549,479.53
9.0,67.0,634.435,483.302
9.0,68.0,637.264,487.074
9.0,69.0,639.858,491.082
9.0,70.0,625.476,481.416
9.0,71.0,626.655,489.196
9.0,72.0,626.419,495.09
9.0,73.0,625.476,500.277
9.0,74.0,619.111,481.18
9.0,75.0,619.111,490.139
9.0,76.0,618.167,498.155
9.0,77.0,617.46,504.756
9.0,78.0,611.566,479.294
9.0,79.0,610.387,487.074
9.0,80.0,609.916,492.497
9.0,81.0,609.68,497.212
10.0,0.0,639.997,292.897
10.0,1.0,656.644,333.314
10.0,2.0,635.132,333.229
10.0,3.0,621.07,388.034
10.0,4.0,632.9,411.837
10.0,5.0,682.832,333.46
10.0,6.0,670.806,414.194
10.0,7.0,628.12,461.708
10.0,8.0,666.162,459.268
10.0,9.0,647.114,454.589
10.0,10.0,601.933,537.813
10.0,11.0,644.717,628.087
10.0,12.0,687.498,461.617
10.0,13.0,678.11,556.76
10.0,14.0,675.766,637.736
10.0,15.0,635.248,288.146
10.0,16.0,651.787,281.076
10.0,17.0,628.108,292.956
10.0,18.0,663.803,285.811
10.0,19.0,670.91,656.752
10.0,20.0,682.77,656.741
10.0,21.0,678.049,649.528
10.0,22.0,616.209,656.618
10.0,23.0,616.183,654.125
10.0,24.0,654.371,635.273
10.0,25.0,628.752,299.716
10.0,26.0,646.154,313.995
10.0,27.0,661.995,294.808
10.0,28.0,627.19,285.214
10.0,29.0,631.206,282.759
10.0,30.0,636.337,282.759
10.0,31.0,641.692,282.313
10.0,32.0,646.824,279.413
10.0,33.0,652.401,279.413
10.0,34.0,637.899,303.732
10.0,35.0,641.023,301.947
10.0,36.0,649.724,302.17
10.0,37.0,642.808,307.302
10.0,38.0,634.329,287.445
10.0,39.0,647.047,285.883
10.0,40.0,626.311,459.721
10.0,41.0,616.429,464.213
10.0,42.0,609.842,470.8
10.0,43.0,608.345,478.586
10.0,44.0,606.847,484.575
10.0,45.0,613.435,481.88
10.0,46.0,610.441,490.563
10.0,47.0,608.644,496.851
10.0,48.0,608.045,502.241
10.0,49.0,620.322,483.077
10.0,50.0,620.322,493.258
10.0,51.0,620.921,500.145
