Frame,plane_x,plane_y
350,191.4561095954152,-4809.119716815392
351,209.85637353836034,-4817.794209571868
352,229.18017117989913,-4825.900792687696
353,249.2961904261298,-4833.3760242138005
354,270.0593350641921,-4840.156732232593
355,291.31516917612663,-4846.181946217346
356,312.9224287881831,-4851.408941320172
357,334.76251541964376,-4855.82032750756
358,356.73919507346494,-4859.4235610995065
359,378.77258597233447,-4862.241801797703
360,400.79398915087705,-4864.306109424802
361,422.7438546489853,-4865.65683566277
362,444.56861547766465,-4866.346411090871
363,466.2203809402113,-4866.439615152907
364,487.6565639705283,-4866.012649760248
365,508.8363794234458,-4865.144434417046
366,529.7189254493397,-4863.91183672327
367,550.263305484808,-4862.38962352175
368,570.4343180134091,-4860.650460898161
369,590.209955725923,-4858.764908804172
370,609.5819304985179,-4856.800506707244
371,628.5557005380803,-4854.819834546273
372,647.1504551528825,-4852.880262579653
373,665.3977605548201,-4851.033475989275
374,683.3334462615662,-4849.320813763403
375,700.9927221719101,-4847.770183477679
376,718.4100622068675,-4846.396010962098
377,735.6156799970848,-4845.200597831126
378,752.628283328106,-4844.176910451983
379,769.4542506104187,-4843.307778064162
380,786.0878120867208,-4842.562831055343
381,802.51108250428,-4841.897992408952
382,818.695042560173,-4841.255841501536
383,834.6096979399072,-4840.577844555018
384,850.231998273588,-4839.815301999323
385,865.5460836889257,-4838.929697463714
386,880.5445393423473,-4837.89266906111
387,895.2325373856684,-4836.68591492785
388,909.6277252278388,-4835.303706096308
389,923.7569451409065,-4833.761491469891
390,937.6555381507701,-4832.097723768133
391,951.3669152071194,-4830.372827754823
392,964.9317980818508,-4828.651842584353
393,978.3769376073551,-4826.987336877175
394,991.7145802406919,-4825.418614254948
395,1004.9422795292135,-4823.971713340538
396,1018.0418735102022,-4822.659407758017
397,1030.9787484874307,-4821.478771060845
398,1043.7001407243115,-4820.400605629284
399,1056.1346757728172,-4819.366574775278
400,1068.1930881471642,-4818.291313720903
401,1079.7821086784045,-4817.086944126745
402,1090.8202564196392,-4815.685736309546
403,1101.238840164904,-4814.041403720418
404,1110.9817176353158,-4812.129052946544
405,1120.0030833456076,-4809.944724423272
406,1128.2697859492343,-4807.507605480377
407,1135.7808228887163,-4804.873709360115
408,1142.574081770223,-4802.140603550357
409,1148.7255931876005,-4799.445611536441
410,1154.3312949821113,-4796.938889424524
411,1159.483246900954,-4794.756400887207
412,1164.2677056755908,-4793.018147899738
413,1168.765320753761,-4791.82817074
414,1173.0544579026077,-4791.2745479885225
